report_date,commodity,unit,wholesale_pettah_last_week,wholesale_pettah_today,wholesale_dambulla_last_week,wholesale_dambulla_today,retail_pettah_last_week,retail_pettah_today,retail_dambulla_last_week,retail_dambulla_today,retail_narahenpita_last_week,retail_narahenpita_today
2026-06-01,Beans,Rs./kg,300.0,550.0,445.0,335.0,350.0,600.0,475.0,365.0,800.0,800.0
2026-06-01,Carrot,Rs./kg,250.0,250.0,305.0,375.0,300.0,300.0,335.0,405.0,480.0,480.0
2026-06-01,Cabbage,Rs./kg,80.0,100.0,105.0,200.0,130.0,150.0,135.0,230.0,340.0,360.0
2026-06-01,Tomato,Rs./kg,400.0,400.0,275.0,340.0,450.0,450.0,305.0,370.0,500.0,500.0
2026-06-01,Brinjal,Rs./kg,400.0,400.0,315.0,355.0,450.0,450.0,345.0,385.0,600.0,700.0
2026-06-01,Pumpkin,Rs./kg,100.0,120.0,90.0,95.0,150.0,170.0,120.0,125.0,220.0,160.0
2026-06-01,Snake gourd,Rs./kg,300.0,300.0,265.0,305.0,350.0,350.0,295.0,335.0,600.0,600.0
2026-06-01,Green Chilli,Rs./kg,400.0,300.0,200.0,400.0,450.0,350.0,230.0,430.0,600.0,800.0
2026-06-01,Lime,Rs./kg,500.0,500.0,375.0,425.0,550.0,550.0,405.0,455.0,800.0,0.0
2026-06-01,Red Onion (Local),Rs./kg,n.a.,n.a.,225.0,255.0,n.a.,n.a.,245.0,275.0,n.a.,n.a.
2026-06-01,Red Onion (lmp),Rs./kg,328.0,324.0,310.0,305.0,383.0,383.0,330.0,325.0,600.0,600.0
2026-06-01,Big Onion (Local),Rs./kg,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2026-06-01,Big Onion (Imp),Rs./kg,194.0,184.0,190.0,175.0,233.0,223.0,210.0,195.0,240.0,240.0
2026-06-01,Potato (Local),Rs./kg,280.0,290.0,215.0,225.0,300.0,347.0,235.0,245.0,350.0,350.0
2026-06-01,Potato (Imp),Rs./kg,165.0,163.0,150.0,168.0,207.0,197.0,170.0,188.0,240.0,240.0
2026-06-01,Dried Chilli (Imp),Rs./kg,988.0,983.0,975.0,965.0,83.0,67.0,5.0,995.0,80.0,80.0
