report_date,commodity,market,price_type,price
2023-01-05,Banana (Sour),Pettah,Wholesale,100.0
2023-01-05,Banana (Sour),Dambulla,Wholesale,140.0
2023-01-05,Banana (Sour),Pettah,Retail,150.0
2023-01-05,Banana (Sour),Dambulla,Retail,170.0
2023-01-05,Banana (Sour),Narahenpita,Retail,280.0
2023-01-11,Banana (Sour),Pettah,Wholesale,100.0
2023-01-11,Banana (Sour),Dambulla,Wholesale,173.0
2023-01-11,Banana (Sour),Pettah,Retail,150.0
2023-01-11,Banana (Sour),Dambulla,Retail,203.0
2023-01-11,Banana (Sour),Narahenpita,Retail,320.0
2023-01-12,Banana (Sour),Pettah,Wholesale,220.0
2023-01-12,Banana (Sour),Dambulla,Wholesale,135.0
2023-01-12,Banana (Sour),Pettah,Retail,280.0
2023-01-12,Banana (Sour),Dambulla,Retail,165.0
2023-01-12,Banana (Sour),Narahenpita,Retail,320.0
2023-01-13,Banana (Sour),Pettah,Wholesale,220.0
2023-01-13,Banana (Sour),Dambulla,Wholesale,150.0
2023-01-13,Banana (Sour),Pettah,Retail,280.0
2023-01-13,Banana (Sour),Dambulla,Retail,180.0
2023-01-13,Banana (Sour),Narahenpita,Retail,320.0
2023-01-17,Banana (Sour),Pettah,Wholesale,220.0
2023-01-17,Banana (Sour),Dambulla,Wholesale,155.0
2023-01-17,Banana (Sour),Pettah,Retail,280.0
2023-01-17,Banana (Sour),Dambulla,Retail,185.0
2023-01-17,Banana (Sour),Narahenpita,Retail,320.0
2023-01-20,Banana (Sour),Pettah,Wholesale,220.0
2023-01-20,Banana (Sour),Dambulla,Wholesale,130.0
2023-01-20,Banana (Sour),Pettah,Retail,280.0
2023-01-20,Banana (Sour),Dambulla,Retail,160.0
2023-01-20,Banana (Sour),Narahenpita,Retail,300.0
2023-01-23,Banana (Sour),Pettah,Wholesale,220.0
2023-01-23,Banana (Sour),Dambulla,Wholesale,110.0
2023-01-23,Banana (Sour),Pettah,Retail,280.0
2023-01-23,Banana (Sour),Dambulla,Retail,140.0
2023-01-23,Banana (Sour),Narahenpita,Retail,320.0
2023-01-24,Banana (Sour),Pettah,Wholesale,220.0
2023-01-24,Banana (Sour),Dambulla,Wholesale,135.0
2023-01-24,Banana (Sour),Pettah,Retail,280.0
2023-01-24,Banana (Sour),Dambulla,Retail,165.0
2023-01-24,Banana (Sour),Narahenpita,Retail,320.0
2023-01-25,Banana (Sour),Pettah,Wholesale,220.0
2023-01-25,Banana (Sour),Dambulla,Wholesale,125.0
2023-01-25,Banana (Sour),Pettah,Retail,280.0
2023-01-25,Banana (Sour),Dambulla,Retail,155.0
2023-01-25,Banana (Sour),Narahenpita,Retail,320.0
2023-01-31,Banana (Sour),Pettah,Wholesale,200.0
2023-01-31,Banana (Sour),Dambulla,Wholesale,115.0
2023-01-31,Banana (Sour),Pettah,Retail,260.0
2023-01-31,Banana (Sour),Dambulla,Retail,145.0
2023-01-31,Banana (Sour),Narahenpita,Retail,320.0
2023-02-02,Banana (Sour),Pettah,Wholesale,200.0
2023-02-02,Banana (Sour),Dambulla,Wholesale,125.0
2023-02-02,Banana (Sour),Pettah,Retail,250.0
2023-02-02,Banana (Sour),Dambulla,Retail,155.0
2023-02-02,Banana (Sour),Narahenpita,Retail,280.0
2023-02-03,Banana (Sour),Pettah,Wholesale,200.0
2023-02-03,Banana (Sour),Dambulla,Wholesale,120.0
2023-02-03,Banana (Sour),Pettah,Retail,250.0
2023-02-03,Banana (Sour),Dambulla,Retail,150.0
2023-02-03,Banana (Sour),Narahenpita,Retail,280.0
2023-02-06,Banana (Sour),Pettah,Wholesale,220.0
2023-02-06,Banana (Sour),Dambulla,Wholesale,125.0
2023-02-06,Banana (Sour),Pettah,Retail,280.0
2023-02-06,Banana (Sour),Dambulla,Retail,155.0
2023-02-06,Banana (Sour),Narahenpita,Retail,280.0
2023-02-07,Banana (Sour),Pettah,Wholesale,220.0
2023-02-07,Banana (Sour),Dambulla,Wholesale,145.0
2023-02-07,Banana (Sour),Pettah,Retail,280.0
2023-02-07,Banana (Sour),Dambulla,Retail,175.0
2023-02-07,Banana (Sour),Narahenpita,Retail,280.0
2023-02-13,Banana (Sour),Pettah,Wholesale,220.0
2023-02-13,Banana (Sour),Dambulla,Wholesale,115.0
2023-02-13,Banana (Sour),Pettah,Retail,280.0
2023-02-13,Banana (Sour),Dambulla,Retail,145.0
2023-02-13,Banana (Sour),Narahenpita,Retail,280.0
2023-02-14,Banana (Sour),Pettah,Wholesale,220.0
2023-02-14,Banana (Sour),Dambulla,Wholesale,130.0
2023-02-14,Banana (Sour),Pettah,Retail,280.0
2023-02-14,Banana (Sour),Dambulla,Retail,160.0
2023-02-14,Banana (Sour),Narahenpita,Retail,280.0
2023-02-22,Banana (Sour),Pettah,Wholesale,200.0
2023-02-22,Banana (Sour),Dambulla,Wholesale,120.0
2023-02-22,Banana (Sour),Pettah,Retail,260.0
2023-02-22,Banana (Sour),Dambulla,Retail,150.0
2023-02-22,Banana (Sour),Narahenpita,Retail,260.0
2023-02-24,Banana (Sour),Pettah,Wholesale,200.0
2023-02-24,Banana (Sour),Dambulla,Wholesale,110.0
2023-02-24,Banana (Sour),Pettah,Retail,260.0
2023-02-24,Banana (Sour),Dambulla,Retail,145.0
2023-02-24,Banana (Sour),Narahenpita,Retail,260.0
2023-02-27,Banana (Sour),Pettah,Wholesale,200.0
2023-02-27,Banana (Sour),Dambulla,Wholesale,125.0
2023-02-27,Banana (Sour),Pettah,Retail,260.0
2023-02-27,Banana (Sour),Dambulla,Retail,145.0
2023-02-27,Banana (Sour),Narahenpita,Retail,260.0
2023-02-28,Banana (Sour),Pettah,Wholesale,200.0
2023-02-28,Banana (Sour),Dambulla,Wholesale,120.0
2023-02-28,Banana (Sour),Pettah,Retail,240.0
2023-02-28,Banana (Sour),Dambulla,Retail,140.0
2023-02-28,Banana (Sour),Narahenpita,Retail,260.0
2023-03-01,Banana (Sour),Pettah,Wholesale,200.0
2023-03-01,Banana (Sour),Dambulla,Wholesale,125.0
2023-03-01,Banana (Sour),Pettah,Retail,240.0
2023-03-01,Banana (Sour),Dambulla,Retail,155.0
2023-03-01,Banana (Sour),Narahenpita,Retail,260.0
2023-03-03,Banana (Sour),Pettah,Wholesale,200.0
2023-03-03,Banana (Sour),Dambulla,Wholesale,115.0
2023-03-03,Banana (Sour),Pettah,Retail,240.0
2023-03-03,Banana (Sour),Dambulla,Retail,135.0
2023-03-03,Banana (Sour),Narahenpita,Retail,260.0
2023-03-07,Banana (Sour),Pettah,Wholesale,180.0
2023-03-07,Banana (Sour),Dambulla,Wholesale,105.0
2023-03-07,Banana (Sour),Pettah,Retail,220.0
